Tweet,Polarity,Subjectory,Search
RT @DobberProspects: Colorado Avalanche prospect update Spencer Martin #FantasyHockey value gets boost after Pickard sent to @GoldenKnights…,neutral,0.0,Colorado Avalanche
"RT @DobberProspects: ICYMI Colorado Avalanche prospect review of top ten rankings, depth chart, trending up &amp; down prospects via @soboleski…",positive,0.26,Colorado Avalanche
[NHL: Colorado Avalanche] Rookie Rewind: Spencer Martin https://t.co/eGNpSJrR1f #Avalanche,neutral,0.0,Colorado Avalanche
"RT @fcahockey: Filming has started with Colorado Avalanche forward @RGrimaldi23 for FCA22! Rocco sharing on goal setting, building confiden…",neutral,0.0,Colorado Avalanche
@NHLSupremeCourt Colorado Avalanche,neutral,0.0,Colorado Avalanche
#AvsForum #ColoradoAvalanche #Forum Colorado Avalanche Trade History https://t.co/CHkNV9xUho,neutral,0.0,Colorado Avalanche
[SB Nation: Mile High Hockey] Comparing Cap Space v. Points Percentage – Part 1 https://t.co/T7W1RUC9tG #Avalanche,positive,0.54,Colorado Avalanche
"Il y a un an aujourd'hui, Patrick Roy quittait ses fonctions d'entraîneur-chef et de conseiller au DG chez l'Avalanche du Colorado.",neutral,0.0,Colorado Avalanche
[Sporting News] NHL offseason: Five unanswered questions https://t.co/FevpBtEJnT #Avalanche,negative,0.2,Colorado Avalanche
NHL - Camisa Do Colorado Avalanche 2017 - Frete Gratis p/ Todo o Brasil - https://t.co/oiyULiR5v3 https://t.co/omYDkf6WlL via,neutral,0.0,Colorado Avalanche
[Fanrag Sports] Dreger | Things are real strange around that Avalanche team https://t.co/j4QkPP0YfC #Avalanche,negative,0.22,Colorado Avalanche
"@DarrenDreger In an interview two days ago Adam Foote referred to himself as ""Adam Foote of the Colorado Avalanche"". Are you sure he left?",positive,0.44,Colorado Avalanche
"Latest On Matt Duchene, Colorado Avalanche https://t.co/SaGqg0zqsT https://t.co/Dgeopg9yQx",positive,0.9,Colorado Avalanche
"This is as honest as it gets, tweeps. https://t.co/ewPn1t8oQD",positive,0.9,Colorado Avalanche
RT @LastWordBKerr: Colorado Avalanche Trade History: Best and Worst Trades of All-Time - https://t.co/4dza98rstp via @LastWordOnPuck https:…,neutral,0.65,Colorado Avalanche
Colorado Avalanche: An Open Letter About Patrick Roy https://t.co/JnYpwsjrHu https://t.co/rtPy4QKoqZ,neutral,0.5,Colorado Avalanche
